Optimizer,lr,wd,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
SGD,0.001,0.005,0.2446986720675514,0.007218735292553902,0.008075209334492683,0.011008573737287895,0.10492175054433611,0.08005695363298658,-49.972447114200435,64.0
SGD,0.001,0.01,0.2447556465391129,0.007210617884993553,0.008065460249781609,0.010995627240154245,0.10486003643025422,0.0800101814561211,-49.91250159753247,64.0
SGD,0.001,0.05,0.2481580310397678,0.007146013434976339,0.007987897843122482,0.010892654140623325,0.1043678788738342,0.07963725588076416,-49.43571041683242,64.0
SGD,0.001,0.1,0.2558510417029971,0.007066118530929089,0.007892027497291565,0.010765319238018316,0.10375605639199244,0.07917600868199214,-48.8461180006195,64.0
SGD,0.005,0,0.24626986185709634,0.0045702774077653885,0.005107389762997627,0.0072786507807626345,0.0853150091177551,0.06575362135547368,-32.701971830236424,65.0
SGD,0.005,0.0001,0.24482901512630403,0.004569833166897297,0.0051068468019366264,0.007277882260949268,0.0853105049859,0.06575018057956514,-32.69841339147061,65.0
SGD,0.005,0.0005,0.24748189108712332,0.004568058997392654,0.005104667507112026,0.00727477922184146,0.0852923163118546,0.06573628044112739,-32.68404554504558,65.0
SGD,0.005,0.001,0.24799114560324048,0.004565838258713484,0.00510193919762969,0.007270896441808751,0.08526955166886215,0.06571889728198914,-32.66606730330451,65.0
SGD,0.005,0.005,0.24660966509864443,0.004548122640699148,0.005080175120383501,0.007239928341556424,0.08508776846031646,0.06558000097175283,-32.522677261141986,65.0
SGD,0.005,0.01,0.24582386395287892,0.00452608335763216,0.005053109489381313,0.0072014099767269005,0.0848611217032093,0.06540681236780403,-32.344327607403635,65.0
SGD,0.005,0.05,0.24906640961056664,0.004353784490376711,0.00484175980091095,0.0069006977676212625,0.08307043859051945,0.06403841878906279,-30.95195494033298,66.0
SGD,0.005,0.1,0.2589855118403359,0.004148181062191725,0.004590119235217571,0.00654271149429336,0.08088702920922093,0.06236939884118657,-29.294389044851982,66.0
SGD,0.01,0,0.24760092629326713,0.0029834553133696318,0.0031882848124951124,0.004783657810847908,0.06916399215522415,0.05427261708147003,-21.149530956037246,67.0
SGD,0.01,0.0001,0.2461515154157366,0.00298294541426003,0.0031876699067652225,0.004782699119147572,0.06915706123851398,0.054267179992339744,-21.145091973916546,67.0
SGD,0.01,0.0005,0.24693876977950807,0.0029809155967086554,0.0031852456741034985,0.004778908099869291,0.06912964703995884,0.054245650484982116,-21.127538607396723,67.0
SGD,0.01,0.001,0.24860130794464597,0.0029783817008137703,0.003182218177244067,0.004774173702551439,0.0690953956682458,0.05421875947230606,-21.105617164831973,67.0
